# Arm length:           10000 m
# Photodiode power:     0.5 W
# Thermal noise at 1Hz: 1.2e-33 m^2/Hz
# Without normal mode resonances
1.000000e-05 6.928515e-17
1.033441e-05 6.487381e-17
1.068000e-05 6.074334e-17
1.103716e-05 5.687585e-17
1.140625e-05 5.325461e-17
1.178769e-05 4.986393e-17
1.218188e-05 4.668914e-17
1.258925e-05 4.371648e-17
1.301025e-05 4.093310e-17
1.344533e-05 3.832693e-17
1.389495e-05 3.588670e-17
1.435962e-05 3.360183e-17
1.483982e-05 3.146245e-17
1.533608e-05 2.945927e-17
1.584893e-05 2.758364e-17
1.637894e-05 2.582743e-17
1.692667e-05 2.418304e-17
1.749271e-05 2.264334e-17
1.807769e-05 2.120168e-17
1.868222e-05 1.985181e-17
1.930698e-05 1.858788e-17
1.995262e-05 1.740442e-17
2.061986e-05 1.629632e-17
2.130941e-05 1.525877e-17
2.202202e-05 1.428728e-17
2.275846e-05 1.337764e-17
2.351953e-05 1.252592e-17
2.430604e-05 1.172842e-17
2.511886e-05 1.098171e-17
2.595887e-05 1.028253e-17
2.682696e-05 9.627872e-18
2.772408e-05 9.014894e-18
2.865120e-05 8.440944e-18
2.960933e-05 7.903537e-18
3.059950e-05 7.400346e-18
3.162278e-05 6.929193e-18
3.268028e-05 6.488037e-18
3.377314e-05 6.074969e-18
3.490255e-05 5.688200e-18
3.606973e-05 5.326056e-18
3.727594e-05 4.986970e-18
3.852248e-05 4.669472e-18
3.981072e-05 4.372189e-18
4.114203e-05 4.093834e-18
4.251786e-05 3.833201e-18
4.393971e-05 3.589161e-18
4.540910e-05 3.360660e-18
4.692762e-05 3.146706e-18
4.849693e-05 2.946375e-18
5.011872e-05 2.758798e-18
5.179475e-05 2.583164e-18
5.352682e-05 2.418712e-18
5.531681e-05 2.264730e-18
5.716667e-05 2.120552e-18
5.907838e-05 1.985553e-18
6.105402e-05 1.859150e-18
6.309573e-05 1.740794e-18
6.520572e-05 1.629973e-18
6.738627e-05 1.526209e-18
6.963974e-05 1.429050e-18
7.196857e-05 1.338078e-18
7.437527e-05 1.252897e-18
7.686246e-05 1.173140e-18
7.943282e-05 1.098461e-18
8.208914e-05 1.028536e-18
8.483429e-05 9.630631e-19
8.767124e-05 9.017589e-19
9.060306e-05 8.443578e-19
9.363292e-05 7.906114e-19
9.676411e-05 7.402870e-19
1.000000e-04 6.931667e-19
1.033441e-04 6.490465e-19
1.068000e-04 6.077355e-19
1.103716e-04 5.690549e-19
1.140625e-04 5.328371e-19
1.178769e-04 4.989254e-19
